Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
M25WC3C,Wood Combustion in Chulha (Stove),Silver,0.024,0.0091,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-22-4,Ag,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.01",https://doi.org/10.1016/j.atmosres.2013.04.012,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Aluminium,0.0012,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7429-90-5,Al,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.02",https://doi.org/10.1016/j.atmosres.2013.04.013,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Arsenic,0.0106,0.0076,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-38-2,As,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.03",https://doi.org/10.1016/j.atmosres.2013.04.014,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Barium,0.0002,0.0002,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-39-3,Ba,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.04",https://doi.org/10.1016/j.atmosres.2013.04.015,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Calcium,0.0025,0.0018,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-70-2,Ca,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.05",https://doi.org/10.1016/j.atmosres.2013.04.016,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Cadmium,0.0007,0.0005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-43-9,Cd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.06",https://doi.org/10.1016/j.atmosres.2013.04.017,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Cerium,0.0257,0.0185,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-45-1,Ce,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.07",https://doi.org/10.1016/j.atmosres.2013.04.018,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Cobalt,0.0029,0.0021,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-48-4,Co,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.08",https://doi.org/10.1016/j.atmosres.2013.04.019,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Chromium,0.0035,0.0009,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-47-3,Cr,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.09",https://doi.org/10.1016/j.atmosres.2013.04.020,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Copper,0.0029,0.0010,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-50-8,Cu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.10",https://doi.org/10.1016/j.atmosres.2013.04.021,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Iron,0.0024,0.0017,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
M25WC3C,Wood Combustion in Chulha (Stove),Gallium,0.0018,0.0132,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Laboratory samples at Mumbai,3-10-2007,composite of 3 samples from a stove burning fire wood (babul) from Mumbai,19.076,72.8777,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,Samples collected from mumbai sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
